FREQ;UNIT;INDIC_PS;GEO\TIME_PERIOD,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;PC;QOS804;CZ,: ,98.0 ,97.9 ,95.9 ,94.0 ,95.1 
A;PC;QOS804;DK,99.6 ,99.4 ,99.8 ,: ,97.3 ,98.9 
A;PC;QOS804;EE,96.6 ,97.4 ,96.4 ,90.9 ,92.9 ,92.7 
A;PC;QOS804;EL,97.9 ,93.9 ,90.2 ,86.5 ,81.2 ,77.8 
A;PC;QOS804;ES,: ,: ,: ,: ,97.8 ,98.1 
A;PC;QOS804;FI,99.1 ,98.6 ,97.8 ,: ,95.2 ,94.0 
A;PC;QOS804;FR,99.2 ,99.1 ,98.0 ,98.2 ,96.0 ,95.8 
A;PC;QOS804;HR,88.4 ,88.2 ,89.3 ,90.1 ,90.6 ,91.9 
A;PC;QOS804;HU,98.9 ,98.5 ,98.4 ,98.0 ,92.7 ,93.9 
A;PC;QOS804;IE,: ,99.3 ,99.3 ,99.0 ,97.2 ,96.3 
A;PC;QOS804;IS,99.0 ,98.0 ,98.0 ,98.0 ,96.0 ,91.0 
A;PC;QOS804;IT,95.1 ,95.1 ,95.2 ,93.2 ,91.3 ,92.1 
A;PC;QOS804;LT,: ,93.8 ,90.8 ,91.6 ,90.0 ,: 
A;PC;QOS804;LU,98.4 ,98.2 ,97.8 ,97.1 ,95.2 ,94.2 
A;PC;QOS804;LV,: ,98.7 ,: z,: z,: z,: 
A;PC;QOS804;MK,84.3 ,: ,: ,: ,: ,: 
A;PC;QOS804;MT,: ,: ,100.0 ,100.0 ,100.0 ,100.0 
A;PC;QOS804;NL,98.9 ,98.3 ,97.9 ,97.2 ,95.0 ,: 
A;PC;QOS804;NO,98.8 ,99.1 ,: ,94.9 ,94.3 ,88.2 
A;PC;QOS804;PT,99.2 ,98.9 ,98.4 ,97.4 ,97.1 ,96.3 
A;PC;QOS804;RO,96.1 ,94.3 ,93.0 ,94.0 ,85.6 ,87.6 
A;PC;QOS804;RS,93.3 ,92.5 ,87.5 ,83.4 ,87.9 ,82.9 
A;PC;QOS804;SE,99.5 ,99.2 ,: c,: c,: ,: 
A;PC;QOS804;SI,97.4 ,97.0 ,97.0 ,97.1 ,94.5 ,94.6 
A;PC;QOS804;SK,99.2 ,96.9 ,98.9 ,98.8 ,96.7 ,96.9 
